CQS Symbol,ETF,Financial Status,Listing Exchange,Market Category,NASDAQ Symbol,Nasdaq Traded,NextShares,Round Lot Size,Security Name,Symbol,Test Issue
ASEA,Y,"",P, ,ASEA,Y,N,100,Global X FTSE Southeast Asia ETF,ASEA,N
"",Y,N,Q,G,ASET,Y,N,100,FlexShares Real Assets Allocation Index Fund,ASET,N
ASG,N,"",N, ,ASG,Y,N,100,"Liberty All-Star Growth Fund, Inc.",ASG,N
ASGI,N,"",N, ,ASGI,Y,N,100,abrdn Global Infrastructure Income Fund Common Shares of Beneficial Interest,ASGI,N
ASGN,N,"",N, ,ASGN,Y,N,100,ASGN Incorporated Common Stock,ASGN,N
ASH,N,"",N, ,ASH,Y,N,100,Ashland Inc. Common Stock,ASH,N
ASHR,Y,"",P, ,ASHR,Y,N,100,Xtrackers Harvest CSI 300 China A-Shares ETF,ASHR,N
ASHS,Y,"",P, ,ASHS,Y,N,100,Xtrackers Harvest CSI 500 China A-Shares Small Cap ETF,ASHS,N
ASHX,Y,"",P, ,ASHX,Y,N,100,Xtrackers MSCI China A Inclusion Equity ETF,ASHX,N
ASIX,N,"",N, ,ASIX,Y,N,100,AdvanSix Inc. Common Stock ,ASIX,N
"",N,N,Q,S,ASLE,Y,N,100,AerSale Corporation - Common Stock,ASLE,N
"",N,D,Q,S,ASLN,Y,N,100,ASLAN Pharmaceuticals Limited - American Depositary Shares,ASLN,N
ASM,N,"",A, ,ASM,Y,N,100,Avino Silver & Gold Mines Ltd. Common Shares (Canada),ASM,N
"",N,N,Q,Q,ASMB,Y,N,100,"Assembly Biosciences, Inc. - Common Stock",ASMB,N
"",N,N,Q,Q,ASML,Y,N,100,ASML Holding N.V. - New York Registry Shares,ASML,N
"",N,N,Q,Q,ASND,Y,N,100,Ascendis Pharma A/S - American Depositary Shares,ASND,N
"",N,D,Q,S,ASNS,Y,N,100,"Actelis Networks, Inc. - Common Stock",ASNS,N
"",N,N,Q,Q,ASO,Y,N,100,"Academy Sports and Outdoors, Inc. - Common Stock",ASO,N
"",N,N,Q,S,ASPA,Y,N,100,"Abri SPAC I, Inc. - Common Stock",ASPA,N
"",N,N,Q,S,ASPAU,Y,N,100,"Abri SPAC I, Inc. - Unit",ASPAU,N
"",N,N,Q,S,ASPAW,Y,N,100,"Abri SPAC I, Inc. - Warrant",ASPAW,N
"",N,N,Q,S,ASPI,Y,N,100,ASP Isotopes Inc. - Common Stock,ASPI,N
ASPN,N,"",N, ,ASPN,Y,N,100,"Aspen Aerogels, Inc. Common Stock",ASPN,N
"",N,N,Q,Q,ASPS,Y,N,100,Altisource Portfolio Solutions S.A. - Common Stock,ASPS,N
"",N,D,Q,G,ASPU,Y,N,100,Aspen Group Inc. - Common Stock,ASPU,N
ASPY,Y,"",P, ,ASPY,Y,N,100,ASYMshares ASYMmetric S&P 500 ETF,ASPY,N
ASR,N,"",N, ,ASR,Y,N,100,"Grupo Aeroportuario del Sureste, S.A. de C.V. Common Stock",ASR,N
"",N,N,Q,S,ASRT,Y,N,100,"Assertio Holdings, Inc. - Common Stock",ASRT,N
"",N,N,Q,G,ASRV,Y,N,100,AmeriServ Financial Inc. - Common Stock,ASRV,N
"",N,N,Q,S,ASTC,Y,N,100,Astrotech Corporation - Common Stock,ASTC,N
"",N,N,Q,Q,ASTE,Y,N,100,"Astec Industries, Inc. - Common Stock",ASTE,N
"",N,N,Q,S,ASTI,Y,N,100,"Ascent Solar Technologies, Inc - Common Stock",ASTI,N
"",N,N,Q,G,ASTL,Y,N,100,Algoma Steel Group Inc. - Common Shares,ASTL,N
"",N,N,Q,G,ASTLW,Y,N,100,Algoma Steel Group Inc. - Warrant,ASTLW,N
"",N,D,Q,Q,ASTR,Y,N,100,"Astra Space, Inc. - Class A Common Stock",ASTR,N
"",N,N,Q,Q,ASTS,Y,N,100,"AST SpaceMobile, Inc. - Class A Common Stock",ASTS,N
"",N,N,Q,Q,ASTSW,Y,N,100,"AST SpaceMobile, Inc. - Warrant",ASTSW,N
"",N,N,Q,S,ASUR,Y,N,100,Asure Software Inc - Common Stock,ASUR,N
ASX,N,"",N, ,ASX,Y,N,100,"ASE Technology Holding Co., Ltd. American Depositary Shares (each representing Two Common Shares) ",ASX,N
ASXC,N,"",A, ,ASXC,Y,N,100,"Asensus Surgical, Inc. Common Stock",ASXC,N
"",N,N,Q,Q,ASYS,Y,N,100,"Amtech Systems, Inc. - Common Stock",ASYS,N
"",N,N,Q,G,ATAI,Y,N,100,ATAI Life Sciences N.V. - Common Shares,ATAI,N
"",N,N,Q,G,ATAK,Y,N,100,Aurora Technology Acquisition Corp. - Class A Ordinary Shares,ATAK,N
"",N,N,Q,G,ATAKR,Y,N,100,Aurora Technology Acquisition Corp. - Rights,ATAKR,N
"",N,N,Q,G,ATAKU,Y,N,100,Aurora Technology Acquisition Corp. - Unit,ATAKU,N
"",N,N,Q,G,ATAKW,Y,N,100,Aurora Technology Acquisition Corp. - Warrants,ATAKW,N
ATAQ,N,"",N, ,ATAQ,Y,N,100,Altimar Acquisition Corp. III Class A Ordinary Shares,ATAQ,N
ATAQ.U,N,"",N, ,ATAQ=,Y,N,100,"Altimar Acquisition Corp. III Units, each consisting of one Class A Ordinary Share and one-fourth of one redeemable warrant",ATAQ.U,N
"",N,N,Q,Q,ATAT,Y,N,100,Atour Lifestyle Holdings Limited - American Depositary Shares,ATAT,N
ATCO,N,"",N, ,ATCO,Y,N,100,Atlas Corp. Common Shares,ATCO,N
ATCOpD,N,"",N, ,ATCO-D,Y,N,100,Atlas Corp. 7.95% Series D,ATCO$D,N
ATCOpH,N,"",N, ,ATCO-H,Y,N,100,Atlas Corp. 7.875% Series H,ATCO$H,N
ATCOpI,N,"",N, ,ATCO-I,Y,N,100,Atlas Corp. Series I Fixed-to-Floating ,ATCO$I,N
"",N,N,Q,G,ATCOL,Y,N,100,Atlas Corp. - 7.125% Notes due 2027,ATCOL,N
"",N,N,Q,G,ATCX,Y,N,100,"Atlas Technical Consultants, Inc. - Class A Common Stock",ATCX,N
"",N,N,Q,Q,ATEC,Y,N,100,"Alphatec Holdings, Inc. - Common Stock",ATEC,N
ATEK,N,"",N, ,ATEK,Y,N,100,Athena Technology Acquisition Corp. II Class A Common Stock,ATEK,N
ATEK.U,N,"",N, ,ATEK=,Y,N,100,"Athena Technology Acquisition Corp. II Units, each consisting of one share of Class A common stock, and one-half of one Redeemable Warrant",ATEK.U,N
ATEK.WS,N,"",N, ,ATEK+,Y,N,100,Athena Technology Acquisition Corp. II Redeemable Warrants,ATEK.W,N
ATEN,N,"",N, ,ATEN,Y,N,100,"A10 Networks, Inc. Common Stock",ATEN,N
"",N,N,Q,S,ATER,Y,N,100,"Aterian, Inc. - Common Stock",ATER,N
ATEST,N,"",A, ,ATEST,Y,N,100,Tick Pilot Test Control Common Stock,ATEST,Y
ATEST.A,N,"",A, ,ATEST.A,Y,N,100,Tick Pilot Test Group 1 Common Stock,ATEST.A,Y
ATEST.B,N,"",A, ,ATEST.B,Y,N,100,Tick pilot Test 2 Common Stock,ATEST.B,Y
ATEST.C,N,"",A, ,ATEST.C,Y,N,100,Tick Pilot Test 3 Common Stock,ATEST.C,Y
"",N,N,Q,S,ATEX,Y,N,100,Anterix Inc. - Common Stock,ATEX,N
ATFV,Y,"",P, ,ATFV,Y,N,100,Alger 35 ETF,ATFV,N
ATGE,N,"",N, ,ATGE,Y,N,100,Adtalem Global Education Inc. Common Stock,ATGE,N
ATHpA,N,"",N, ,ATH-A,Y,N,100,"Athene Holding Ltd. Depositary Shares, Each Representing a 1/1,000th Interest in a 6.35% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Share, Series A",ATH$A,N
ATHpB,N,"",N, ,ATH-B,Y,N,100,"Athene Holding Ltd. Depositary Shares, Each Representing a 1/1,000th Interest in a 5.625% Fixed Rate Perpetual Non- Cumulative Preference Share, Series B, par value $1.00 per share",ATH$B,N
ATHpC,N,"",N, ,ATH-C,Y,N,100,"Athene Holding Ltd. Depositary Shares, each representing a 1/1,000th Interest in a Share of 6.375% Fixed-Rate Reset Perpetual Non-Cumulative Preference Shares, Series C",ATH$C,N
ATHpD,N,"",N, ,ATH-D,Y,N,100,"Athene Holding Ltd. Depositary Shares, Each Representing a 1/1,000th Interest in a 4.875% Fixed-Rate Perpetual Non-Cumulative Preference Share, Series D",ATH$D,N
ATHpE,N,"",N, ,ATH-E,Y,N,100,"Athene Holding Ltd. Depositary Shares, Each Representing a 1/1,000th Interest in a 7.750% Fixed-Rate Reset Perpetual Non-Cumulative Preference Share, Series E",ATH$E,N
"",N,N,Q,Q,ATHA,Y,N,100,"Athira Pharma, Inc. - Common Stock",ATHA,N
"",N,D,Q,S,ATHE,Y,N,100,Alterity Therapeutics Limited - American Depositary Shares,ATHE,N
ATHM,N,"",N, ,ATHM,Y,N,100,"Autohome Inc. American Depositary Shares, each representing four class A ordinary shares.",ATHM,N
"",N,D,Q,S,ATHX,Y,N,100,"Athersys, Inc. - Common Stock",ATHX,N
ATI,N,"",N, ,ATI,Y,N,100,ATI Inc. Common Stock,ATI,N
"",N,N,Q,S,ATIF,Y,N,100,ATIF Holdings Limited - Ordinary Shares,ATIF,N
ATIP,N,"",N, ,ATIP,Y,N,100,"ATI Physical Therapy, Inc. Class A Common Stock",ATIP,N
ATIP.WS,N,"",N, ,ATIP+,Y,N,100,"ATI Physical Therapy, Inc. Warrants",ATIP.W,N
ATKR,N,"",N, ,ATKR,Y,N,100,Atkore Inc. Common Stock,ATKR,N
"",N,N,Q,Q,ATLC,Y,N,100,Atlanticus Holdings Corporation - Common Stock,ATLC,N
"",N,N,Q,G,ATLCL,Y,N,100,Atlanticus Holdings Corporation - 6.125% Senior Notes due 2026,ATLCL,N
"",N,N,Q,Q,ATLCP,Y,N,100,"Atlanticus Holdings Corporation - 7.625% Series B Cumulative Perpetual Preferred Stock, no par value per share",ATLCP,N
"",N,N,Q,S,ATLO,Y,N,100,Ames National Corporation - Common Stock,ATLO,N
"",N,N,Q,S,ATLX,Y,N,100,Atlas Lithium Corporation - Common Stock,ATLX,N
"",N,N,Q,G,ATMCU,Y,N,100,AlphaTime Acquisition Corp - Unit,ATMCU,N
ATMP,N,"",Z, ,ATMP,Y,N,100,iPath Select MLP ETN,ATMP,N
"",N,N,Q,G,ATMVU,Y,N,100,AlphaVest Acquisition Corp - Unit,ATMVU,N
"",N,N,Q,S,ATNF,Y,N,100,180 Life Sciences Corp. - Common Stock,ATNF,N
"",N,N,Q,S,ATNFW,Y,N,100,180 Life Sciences Corp. - Warrant,ATNFW,N
"",N,N,Q,Q,ATNI,Y,N,100,"ATN International, Inc. - Common Stock",ATNI,N
ATNM,N,"",A, ,ATNM,Y,N,100,"Actinium Pharmaceuticals, Inc. (Delaware) Common Stock",ATNM,N
"",N,D,Q,Q,ATNX,Y,N,100,"Athenex, Inc. - Common Stock",ATNX,N
ATO,N,"",N, ,ATO,Y,N,100,Atmos Energy Corporation Common Stock,ATO,N
"",N,N,Q,S,ATOM,Y,N,100,Atomera Incorporated - Common Stock,ATOM,N
"",N,D,Q,S,ATOS,Y,N,100,"Atossa Therapeutics, Inc. - Common Stock",ATOS,N
ATR,N,"",N, ,ATR,Y,N,100,"AptarGroup, Inc. Common Stock",ATR,N
"",N,N,Q,Q,ATRA,Y,N,100,"Atara Biotherapeutics, Inc. - Common Stock",ATRA,N
"",N,N,Q,G,ATRC,Y,N,100,"AtriCure, Inc. - Common Stock",ATRC,N
"",N,N,Q,Q,ATRI,Y,N,100,Atrion Corporation - Common Stock,ATRI,N
"",N,N,Q,Q,ATRO,Y,N,100,Astronics Corporation - Common Stock,ATRO,N
"",N,N,Q,Q,ATSG,Y,N,100,"Air Transport Services Group, Inc - Common Stock",ATSG,N
ATTO,N,"",N, ,ATTO,Y,N,100,Atento S.A. Ordinary Shares,ATTO,N
ATUS,N,"",N, ,ATUS,Y,N,100,"Altice USA, Inc. Class A Common Stock",ATUS,N
"",N,N,Q,Q,ATVI,Y,N,100,"Activision Blizzard, Inc - Common Stock",ATVI,N
"",N,N,Q,S,ATXG,Y,N,100,Addentax Group Corp. - Common Stock,ATXG,N
"",N,N,Q,S,ATXI,Y,N,100,"Avenue Therapeutics, Inc. - Common Stock",ATXI,N
"",N,N,Q,G,ATXS,Y,N,100,"Astria Therapeutics, Inc. - Common Stock",ATXS,N
"",N,N,Q,S,ATY,Y,N,100,AcuityAds Holdings Inc. - Common Shares,ATY,N
AU,N,"",N, ,AU,Y,N,100,AngloGold Ashanti Limited Common Stock,AU,N
"",N,N,Q,Q,AUB,Y,N,100,Atlantic Union Bankshares Corporation - Common Stock,AUB,N
"",N,N,Q,Q,AUBAP,Y,N,100,"Atlantic Union Bankshares Corporation - Depositary Shares each representing a 1/400th ownership interest in a share of 6.875%Perpetual Non-Cumulative Preferred Stock, Series A",AUBAP,N
"",N,N,Q,G,AUBN,Y,N,100,"Auburn National Bancorporation, Inc. - Common Stock",AUBN,N
AUD,N,"",N, ,AUD,Y,N,100,Audacy Common Stock,AUD,N
"",N,N,Q,Q,AUDC,Y,N,100,AudioCodes Ltd. - Ordinary Shares,AUDC,N
"",N,N,Q,S,AUGX,Y,N,100,"Augmedix, Inc. - Common Stock",AUGX,N
AUGZ,Y,"",Z, ,AUGZ,Y,N,100,TrueShares Structured Outcome (August) ETF,AUGZ,N
"",N,N,Q,S,AUID,Y,N,100,authID Inc. - Common Stock,AUID,N
AULT,N,"",A, ,AULT,Y,N,100,"Ault Alliance, Inc. Common Stock",AULT,N
AULTpD,N,"",A, ,AULT-D,Y,N,100,"Ault Alliance, Inc. 13.00% Series D Cumulative Redeemable Perpetual Preferred Stock",AULT$D,N
AUMN,N,"",A, ,AUMN,Y,N,100,Golden Minerals Company Common Stock,AUMN,N
"",N,N,Q,G,AUPH,Y,N,100,Aurinia Pharmaceuticals Inc - Common Shares,AUPH,N
"",N,N,Q,Q,AUR,Y,N,100,"Aurora Innovation, Inc.  - Class A Common Stock",AUR,N
"",N,N,Q,G,AURA,Y,N,100,"Aura Biosciences, Inc. - Common Stock",AURA,N
"",N,N,Q,S,AURC,Y,N,100,Aurora Acquisition Corp. - Class A Ordinary Shares,AURC,N
"",N,N,Q,S,AURCU,Y,N,100,Aurora Acquisition Corp. - Unit,AURCU,N
"",N,N,Q,S,AURCW,Y,N,100,Aurora Acquisition Corp. - Warrant,AURCW,N
"",N,N,Q,Q,AUROW,Y,N,100,"Aurora Innovation, Inc.  - Warrant",AUROW,N
AUSF,Y,"",P, ,AUSF,Y,N,100,Global X Funds Global X Adaptive U.S. Factor ETF,AUSF,N
AUST,N,"",A, ,AUST,Y,N,100,Austin Gold Corp. Common Shares,AUST,N
"",N,N,Q,Q,AUTL,Y,N,100,Autolus Therapeutics plc - American Depositary Shares,AUTL,N
"",N,N,Q,S,AUUD,Y,N,100,Auddia Inc. - Common Stock,AUUD,N
"",N,N,Q,S,AUUDW,Y,N,100,Auddia Inc. - Warrants,AUUDW,N
"",N,N,Q,S,AUVI,Y,N,100,"Applied UV, Inc. - Common Stock",AUVI,N
"",N,N,Q,S,AUVIP,Y,N,100,"Applied UV, Inc. - 10.5% Series A Cumulative Perpetual Preferred Stock, $0.0001 par value per share",AUVIP,N
AUY,N,"",N, ,AUY,Y,N,100,Yamana Gold Inc. Ordinary Shares (Canada),AUY,N
AVA,N,"",N, ,AVA,Y,N,100,Avista Corporation Common Stock,AVA,N
"",N,N,Q,G,AVAC,Y,N,100,Avalon Acquisition Inc. - Class A Common Stock,AVAC,N
"",N,N,Q,G,AVACU,Y,N,100,Avalon Acquisition Inc. - Units,AVACU,N
"",N,N,Q,G,AVACW,Y,N,100,Avalon Acquisition Inc. - Warrant,AVACW,N
"",N,D,Q,Q,AVAH,Y,N,100,Aveanna Healthcare Holdings Inc. - Common Stock,AVAH,N
AVAL,N,"",N, ,AVAL,Y,N,100,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),AVAL,N
"",N,N,Q,Q,AVAV,Y,N,100,"AeroVironment, Inc. - Common Stock",AVAV,N
AVB,N,"",N, ,AVB,Y,N,100,"AvalonBay Communities, Inc. Common Stock",AVB,N
"",N,D,Q,S,AVCT,Y,N,100,"American Virtual Cloud Technologies, Inc.  - Common Stock",AVCT,N
"",N,D,Q,S,AVCTW,Y,N,100,"American Virtual Cloud Technologies, Inc.  - Warrant expiring 4/7/2020",AVCTW,N
AVD,N,"",N, ,AVD,Y,N,100,American Vanguard Corporation Common Stock ($0.10 Par Value),AVD,N
AVDE,Y,"",P, ,AVDE,Y,N,100,Avantis International Equity ETF,AVDE,N
"",N,N,Q,G,AVDL,Y,N,100,Avadel Pharmaceuticals plc - American Depositary Shares each representing one Ordinary Share,AVDL,N
AVDV,Y,"",P, ,AVDV,Y,N,100,Avantis International Small Cap Value ETF,AVDV,N
"",N,N,Q,Q,AVDX,Y,N,100,"AvidXchange Holdings, Inc. - Common Stock",AVDX,N
AVEM,Y,"",P, ,AVEM,Y,N,100,Avantis Emerging Markets Equity ETF,AVEM,N
"",N,N,Q,S,AVEO,Y,N,100,"AVEO Pharmaceuticals, Inc. - Common Stock",AVEO,N
AVES,Y,"",P, ,AVES,Y,N,100,Avantis Emerging Markets Value ETF,AVES,N
AVGE,Y,"",P, ,AVGE,Y,N,100,American Century ETF Trust Avantis All Equity Markets ETF,AVGE,N
"",N,N,Q,Q,AVGO,Y,N,100,Broadcom Inc. - Common Stock,AVGO,N
"",N,N,Q,S,AVGR,Y,N,100,"Avinger, Inc. - Common Stock",AVGR,N
"",N,N,Q,G,AVHI,Y,N,100,Achari Ventures Holdings Corp. I - Common Stock,AVHI,N
"",N,N,Q,G,AVHIU,Y,N,100,Achari Ventures Holdings Corp. I - Unit,AVHIU,N
"",N,N,Q,G,AVHIW,Y,N,100,Achari Ventures Holdings Corp. I - Warrant,AVHIW,N
"",N,N,Q,Q,AVID,Y,N,100,"Avid Technology, Inc. - Common Stock",AVID,N
AVIE,Y,"",P, ,AVIE,Y,N,100,American Century ETF Trust Avantis Inflation Focused Equity ETF,AVIE,N
AVIG,Y,"",P, ,AVIG,Y,N,100,Avantis Core Fixed Income ETF,AVIG,N
"",N,N,Q,Q,AVIR,Y,N,100,"Atea Pharmaceuticals, Inc. - common stock",AVIR,N
AVIV,Y,"",P, ,AVIV,Y,N,100,Avantis International Large Cap Value ETF,AVIV,N
AVK,N,"",N, ,AVK,Y,N,100,Advent Convertible and Income Fund,AVK,N
AVLV,Y,"",P, ,AVLV,Y,N,100,Avantis U.S. Large Cap Value ETF,AVLV,N
AVMU,Y,"",P, ,AVMU,Y,N,100,Avantis Core Municipal Fixed Income ETF,AVMU,N
AVNS,N,"",N, ,AVNS,Y,N,100,"Avanos Medical, Inc. Common Stock",AVNS,N
AVNT,N,"",N, ,AVNT,Y,N,100,Avient Corporation Common Stock,AVNT,N
"",N,N,Q,Q,AVNW,Y,N,100,"Aviat Networks, Inc. - Common Stock",AVNW,N
"",N,N,Q,Q,AVO,Y,N,100,"Mission Produce, Inc. - Common Stock",AVO,N
"",N,N,Q,Q,AVPT,Y,N,100,"AvePoint, Inc. - Class A Common Stock",AVPT,N
"",N,N,Q,Q,AVPTW,Y,N,100,"AvePoint, Inc. - Warrant",AVPTW,N
AVRE,Y,"",P, ,AVRE,Y,N,100,Avantis Real Estate ETF,AVRE,N
"",N,D,Q,Q,AVRO,Y,N,100,"AVROBIO, Inc. - Common Stock",AVRO,N
AVSC,Y,"",P, ,AVSC,Y,N,100,American Century ETF Trust Avantis U.S Small Cap Equity ETF,AVSC,N
AVSD,Y,"",P, ,AVSD,Y,N,100,American Century ETF Trust Avantis Responsible International Equity ETF,AVSD,N
AVSE,Y,"",P, ,AVSE,Y,N,100,American Century ETF Trust Avantis Responsible Emerging Markets Equity ETF,AVSE,N
AVSF,Y,"",P, ,AVSF,Y,N,100,Avantis Short-Term Fixed Income ETF,AVSF,N
AVSU,Y,"",P, ,AVSU,Y,N,100,American Century ETF Trust Avantis Responsible U.S. Equity ETF,AVSU,N
"",N,N,Q,Q,AVT,Y,N,100,"Avnet, Inc. - Common Stock",AVT,N
"",N,N,Q,G,AVTE,Y,N,100,"Aerovate Therapeutics, Inc. - Common Stock",AVTE,N
AVTR,N,"",N, ,AVTR,Y,N,100,"Avantor, Inc. Common Stock",AVTR,N
"",N,N,Q,S,AVTX,Y,N,100,"Avalo Therapeutics, Inc. - Common Stock",AVTX,N
AVUS,Y,"",P, ,AVUS,Y,N,100,Avantis U.S. Equity ETF,AVUS,N
AVUV,Y,"",P, ,AVUV,Y,N,100,Avantis U.S. Small Cap Value ETF,AVUV,N
"",N,N,Q,Q,AVXL,Y,N,100,Anavex Life Sciences Corp. - Common Stock,AVXL,N
AVY,N,"",N, ,AVY,Y,N,100,Avery Dennison Corporation Common Stock,AVY,N
AVYA,N,"",N, ,AVYA,Y,N,100,Avaya Holdings Corp. Common Stock,AVYA,N
AWAY,Y,"",P, ,AWAY,Y,N,100,ETFMG Travel Tech ETF,AWAY,N
AWF,N,"",N, ,AWF,Y,N,100,Alliancebernstein Global High Income Fund,AWF,N
"",N,D,Q,S,AWH,Y,N,100,Aspira Women's Health Inc. - Common Stock,AWH,N
AWI,N,"",N, ,AWI,Y,N,100,Armstrong World Industries Inc Common Stock,AWI,N
AWK,N,"",N, ,AWK,Y,N,100,"American Water Works Company, Inc. Common Stock",AWK,N
AWP,N,"",N, ,AWP,Y,N,100,abrdn Global Premier Properties Fund Common Shares of Beneficial Interest,AWP,N
AWR,N,"",N, ,AWR,Y,N,100,American States Water Company Common Stock,AWR,N
"",N,N,Q,G,AWRE,Y,N,100,"Aware, Inc. - Common Stock",AWRE,N
AWX,N,"",A, ,AWX,Y,N,100,Avalon Holdings Corporation Common Stock,AWX,N
AWYX,Y,"",P, ,AWYX,Y,N,100,ETFMG 2X Daily Travel Tech ETF,AWYX,N
AX,N,"",N, ,AX,Y,N,100,"Axos Financial, Inc. Common Stock",AX,N
AXAC,N,"",N, ,AXAC,Y,N,100,AXIOS Sustainable Growth Acquisition Corporation Class A Ordinary Shares,AXAC,N
AXACr,N,"",N, ,AXAC^,Y,N,100,AXIOS Sustainable Growth Acquisition Corporation Rights to receive one-tenth (1/10) of one Class A ordinary share,AXAC.R,N
AXAC.WS,N,"",N, ,AXAC+,Y,N,100,"AXIOS Sustainable Growth Acquisition Corporation Redeemable warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50",AXAC.W,N
"",N,D,Q,S,AXDX,Y,N,100,"Accelerate Diagnostics, Inc. - Common Stock",AXDX,N
"",N,N,Q,S,AXGN,Y,N,100,"Axogen, Inc. - Common Stock",AXGN,N
AXL,N,"",N, ,AXL,Y,N,100,"American Axle & Manufacturing Holdings, Inc. Common Stock",AXL,N
"",N,D,Q,G,AXLA,Y,N,100,Axcella Health Inc. - Common Stock,AXLA,N
"",N,N,Q,Q,AXNX,Y,N,100,"Axonics, Inc. - Common Stock",AXNX,N
"",N,N,Q,Q,AXON,Y,N,100,"Axon Enterprise, Inc. - Common Stock",AXON,N
AXP,N,"",N, ,AXP,Y,N,100,American Express Company Common Stock,AXP,N
AXR,N,"",N, ,AXR,Y,N,100,AMREP Corporation Common Stock,AXR,N
AXS,N,"",N, ,AXS,Y,N,100,Axis Capital Holdings Limited Common Stock,AXS,N
AXSpE,N,"",N, ,AXS-E,Y,N,100,"Axis Capital Holdings Limited Depositary Shares, each representing 1/100th interest in a share of a 5.50% Series E Preferred Shares",AXS$E,N
"",N,N,Q,G,AXSM,Y,N,100,"Axsome Therapeutics, Inc. - Common Stock",AXSM,N
AXTA,N,"",N, ,AXTA,Y,N,100,Axalta Coating Systems Ltd. Common Shares,AXTA,N
"",N,N,Q,Q,AXTI,Y,N,100,AXT Inc - Common Stock,AXTI,N
"",N,N,Q,Q,AY,Y,N,100,Atlantica Sustainable Infrastructure plc - Ordinary Shares,AY,N
AYI,N,"",N, ,AYI,Y,N,100,"Acuity Brands, Inc. ",AYI,N
"",N,D,Q,G,AYLA,Y,N,100,"Ayala Pharmaceuticals, Inc. - Common Stock",AYLA,N
"",N,D,Q,S,AYRO,Y,N,100,"AYRO, Inc. - Common Stock",AYRO,N
"",N,D,Q,S,AYTU,Y,N,100,"Aytu BioPharma, Inc.  - Common Stock",AYTU,N
AYX,N,"",N, ,AYX,Y,N,100,"Alteryx, Inc. Class A Common Stock",AYX,N
"",N,N,Q,S,AZ,Y,N,100,A2Z Smart Technologies Corp. - Common Shares,AZ,N
AZEK,N,"",N, ,AZEK,Y,N,100,The AZEK Company Inc. Class A Common Stock,AZEK,N
"",N,N,Q,Q,AZN,Y,N,100,AstraZeneca PLC - American Depositary Shares,AZN,N
AZO,N,"",N, ,AZO,Y,N,100,"AutoZone, Inc. Common Stock",AZO,N
"",N,N,Q,Q,AZPN,Y,N,100,"Aspen Technology, Inc. - Common Stock",AZPN,N
AZRE,N,"",N, ,AZRE,Y,N,100,Azure Power Global Limited Equity Shares,AZRE,N
"",N,N,Q,Q,AZTA,Y,N,100,"Azenta, Inc. - Common Stock",AZTA,N
AZTD,Y,"",P, ,AZTD,Y,N,100,Tidal ETF Trust Aztlan Global Stock Selection DM SMID ETF,AZTD,N
AZUL,N,"",N, ,AZUL,Y,N,100,Azul S.A. American Depositary Shares (each representing three preferred shares),AZUL,N
"",N,N,Q,S,AZYO,Y,N,100,"Aziyo Biologics, Inc. - Class A Common Stock",AZYO,N
AZZ,N,"",N, ,AZZ,Y,N,100,AZZ Inc.,AZZ,N
B,N,"",N, ,B,Y,N,100,"Barnes Group, Inc. Common Stock",B,N
BA,N,"",N, ,BA,Y,N,100,Boeing Company (The) Common Stock,BA,N
BAB,Y,"",P, ,BAB,Y,N,100,Invesco Taxable Municipal Bond ETF,BAB,N
BABA,N,"",N, ,BABA,Y,N,100,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,BABA,N
"",Y,N,Q,G,BABX,Y,N,100,GraniteShares 1.75x Long BABA Daily ETF,BABX,N
BAC,N,"",N, ,BAC,Y,N,100,Bank of America Corporation Common Stock,BAC,N
BACpB,N,"",N, ,BAC-B,Y,N,100,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 6.000% Non-Cumulative Preferred Stock, Series GG",BAC$B,N
BACpE,N,"",N, ,BAC-E,Y,N,100,Bank of America Corporation Depositary Sh repstg 1/1000th Perp Pfd Ser E,BAC$E,N
BACpK,N,"",N, ,BAC-K,Y,N,100,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 5.875% Non- Cumulative Preferred Stock, Series HH",BAC$K,N
BACpL,N,"",N, ,BAC-L,Y,N,10,Bank of America Corporation Non Cumulative Perpetual Conv Pfd Ser L,BAC$L,N
BACpM,N,"",N, ,BAC-M,Y,N,100,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 5.375% Non-Cumulative Preferred Stock, Series KK",BAC$M,N
BACpN,N,"",N, ,BAC-N,Y,N,100,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 5.000% Non-Cumulative Preferred Stock, Series LL",BAC$N,N
BACpO,N,"",N, ,BAC-O,Y,N,100,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 4.375% Non-Cumulative Preferred Stock, Series NN",BAC$O,N
BACpP,N,"",N, ,BAC-P,Y,N,100,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 4.125% Non-Cumulative Preferred Stock, Series PP",BAC$P,N
BACpQ,N,"",N, ,BAC-Q,Y,N,100,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 4.250% Non-Cumulative Preferred Stock, Series QQ",BAC$Q,N
