CQS Symbol,ETF,Financial Status,Listing Exchange,Market Category,NASDAQ Symbol,Nasdaq Traded,NextShares,Round Lot Size,Security Name,Symbol,Test Issue
"",N,N,Q,Q,ABUS,Y,N,100,Arbutus Biopharma Corporation - Common Stock,ABUS,N
"",N,D,Q,S,ABVC,Y,N,100,"ABVC BioPharma, Inc. - Common Stock",ABVC,N
AC,N,"",N, ,AC,Y,N,100,"Associated Capital Group, Inc. Common Stock",AC,N
ACA,N,"",N, ,ACA,Y,N,100,"Arcosa, Inc. Common Stock ",ACA,N
"",N,N,Q,G,ACAB,Y,N,100,Atlantic Coastal Acquisition Corp. II - Class A Common Stock,ACAB,N
"",N,N,Q,G,ACABU,Y,N,100,Atlantic Coastal Acquisition Corp. II - Unit,ACABU,N
"",N,N,Q,G,ACABW,Y,N,100,Atlantic Coastal Acquisition Corp. II - Warrant,ACABW,N
"",N,N,Q,G,ACAC,Y,N,100,Acri Capital Acquisition Corporation - Class A Common Stock,ACAC,N
"",N,N,Q,G,ACACU,Y,N,100,Acri Capital Acquisition Corporation - Unit,ACACU,N
"",N,N,Q,G,ACACW,Y,N,100,Acri Capital Acquisition Corporation - Warrant,ACACW,N
"",N,N,Q,Q,ACAD,Y,N,100,ACADIA Pharmaceuticals Inc. - Common Stock,ACAD,N
"",N,N,Q,S,ACAH,Y,N,100,Atlantic Coastal Acquisition Corp. - Class A Common Stock,ACAH,N
"",N,N,Q,S,ACAHU,Y,N,100,Atlantic Coastal Acquisition Corp. - Unit,ACAHU,N
"",N,N,Q,S,ACAHW,Y,N,100,Atlantic Coastal Acquisition Corp. - Warrant,ACAHW,N
ACAQ,N,"",N, ,ACAQ,Y,N,100,Athena Consumer Acquisition Corp. Class A Common Stock,ACAQ,N
ACAQ.U,N,"",N, ,ACAQ=,Y,N,100,"Athena Consumer Acquisition Corp. Units, each consisting of one share of Class A common stock and one-half of one Redeemable Warrant",ACAQ.U,N
ACAQ.WS,N,"",N, ,ACAQ+,Y,N,100,Athena Consumer Acquisition Corp. Redeemable warrants,ACAQ.W,N
"",N,N,Q,G,ACAX,Y,N,100,Alset Capital Acquisition Corp. - Class A Common Stock,ACAX,N
"",N,N,Q,G,ACAXR,Y,N,100,Alset Capital Acquisition Corp. - Right,ACAXR,N
"",N,N,Q,G,ACAXU,Y,N,100,Alset Capital Acquisition Corp. - Unit,ACAXU,N
"",N,N,Q,G,ACAXW,Y,N,100,Alset Capital Acquisition Corp. - Warrant,ACAXW,N
"",N,N,Q,Q,ACB,Y,N,100,Aurora Cannabis Inc. - Common Shares,ACB,N
"",N,N,Q,S,ACBA,Y,N,100,Ace Global Business Acquisition Limited - Ordinary Shares,ACBA,N
"",N,N,Q,S,ACBAU,Y,N,100,Ace Global Business Acquisition Limited - Unit,ACBAU,N
"",N,N,Q,S,ACBAW,Y,N,100,Ace Global Business Acquisition Limited - Warrant,ACBAW,N
"",N,N,Q,Q,ACCD,Y,N,100,"Accolade, Inc. - common stock",ACCD,N
ACCO,N,"",N, ,ACCO,Y,N,100,Acco Brands Corporation Common Stock,ACCO,N
"",N,N,Q,Q,ACDC,Y,N,100,ProFrac Holding Corp. - Class A Common Stock,ACDC,N
"",N,N,Q,Q,ACDCW,Y,N,100,ProFrac Holding Corp. - Warrant,ACDCW,N
ACDI,N,"",N, ,ACDI,Y,N,100,Ascendant Digital Acquisition Corp. III Class A Ordinary Shares,ACDI,N
ACDI.U,N,"",N, ,ACDI=,Y,N,100,"Ascendant Digital Acquisition Corp. III Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant",ACDI.U,N
ACEL,N,"",N, ,ACEL,Y,N,100,"Accel Entertainment, Inc. ",ACEL,N
"",N,N,Q,S,ACER,Y,N,100,Acer Therapeutics Inc. - Common Stock,ACER,N
ACES,Y,"",P, ,ACES,Y,N,100,ALPS Clean Energy ETF,ACES,N
"",N,N,Q,G,ACET,Y,N,100,"Adicet Bio, Inc. - Common Stock",ACET,N
"",N,N,Q,Q,ACGL,Y,N,100,Arch Capital Group Ltd. - Common Stock,ACGL,N
"",N,N,Q,Q,ACGLN,Y,N,100,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",ACGLN,N
"",N,N,Q,Q,ACGLO,Y,N,100,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",ACGLO,N
"",N,N,Q,Q,ACHC,Y,N,100,"Acadia Healthcare Company, Inc. - Common Stock",ACHC,N
"",N,N,Q,Q,ACHL,Y,N,100,Achilles Therapeutics plc - American Depositary Shares,ACHL,N
ACHR,N,"",N, ,ACHR,Y,N,100,Archer Aviation Inc. Class A Common Stock,ACHR,N
ACHR.WS,N,"",N, ,ACHR+,Y,N,100,"Archer Aviation Inc. Redeemable Warrants, each whole warrant exercisable for one Class A common stock at an exercise price of $11.50",ACHR.W,N
"",N,D,Q,S,ACHV,Y,N,100,"Achieve Life Sciences, Inc.  - Common Shares",ACHV,N
ACI,N,"",N, ,ACI,Y,N,100,"Albertsons Companies, Inc. Class A Common Stock",ACI,N
ACIO,Y,"",Z, ,ACIO,Y,N,100,ETF Series Solutions Aptus Collared Income Opportunity ETF,ACIO,N
"",N,N,Q,G,ACIU,Y,N,100,AC Immune SA - Common Stock,ACIU,N
"",N,N,Q,Q,ACIW,Y,N,100,"ACI Worldwide, Inc. - Common Stock",ACIW,N
